price,location,distance,amenities,ratings,type
13437,"Ernakulam, Cochin",,Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk Good breakfast,8.2,Deluxe Double or Twin Room
8000,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Free parking Family rooms 24-hour front desk Exceptional breakfast,8.1,Deluxe Double Room
12375,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,8.4,Deluxe Double Room
6000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking 24-hour front desk ,8.9,Deluxe Twin Room
6000,"Fort Kochi, Cochin",,Free parking ,7.9,Budget Double Room
161017,"Ernakulam, Cochin",,Outdoor swimming pool Non-smoking rooms Free WiFi Free parking Family rooms ,9.6,Palace room (Entire Palace)
6948,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk ,7.1,Standard Double Room with Fan
4000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Family rooms ,9.4,Deluxe Double Room
8750,"Kakkanad, Cochin",,Free WiFi Free parking ,8.085106382978724,One-Bedroom Apartment
11990,"Kakkanad, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.7,Standard Double Room
10092,Cochin,,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,8.8,Standard Double Room
19500,Cochin,,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,9.4,Two-Bedroom Apartment
26096,Cochin,,Indoor swimming pool Airport shuttle Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi 24-hour front desk ,8.7,Deluxe Double Room with Balcony
8998,Cochin,,Outdoor swimming pool Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk ,7.3,Standard Double Room
9794,"Kakkanad, Cochin",,Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,7.4,Standard Double Room
