price,location,distance,amenities,ratings,type
10350,"South Mumbai, Mumbai",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.6,Executive Club
10500,"Colaba, Mumbai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Fabulous breakfast,9.0,Superior Room City View King Bed
10455,"Western Suburbs, Mumbai",,2 swimming pools Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,8.2,Executive Club
5799,"Central Suburbs, Mumbai",,Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk Tea/coffee maker in all rooms Good breakfast,7.6,Standard Queen Room
11000,"Western Suburbs, Mumbai",,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Premier City View Room with 1+1 Happy hours are from 5pm to 7pm at 6 degrees on selected brands
5200,"Western Suburbs, Mumbai",,Spa and wellness centre Room service Free WiFi Private parking Non-smoking rooms Family rooms 24-hour front desk Air conditioning Terrace Breakfast ,6.9,King Suite with Pool View
7250,"Western Suburbs, Mumbai",,Airport shuttle Fitness centre (Temporarily closed)Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Breakfast ,7.9,Reflection Club Room - 20% Discount on Restaurant  Food Al-a-carte order 
5599,"Colaba, Mumbai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk Bar Good breakfast,8.4,Boutique Room with 15% off on food and soft beverage and Laundry
5278,"Western Suburbs, Mumbai",,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Lift Air conditioning Breakfast ,7.9,Deluxe Double Room
4800,"Western Suburbs, Mumbai",,Airport shuttle Room service Restaurant Free parking Non-smoking rooms Family rooms 24-hour front desk Lift Air conditioning Breakfast ,8.9,Standard Double Room
1700,"Western Suburbs, Mumbai",,Free WiFi Air conditioning ,10.0,Deluxe Double Room
12000,"Worli, Mumbai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.5,Superior King Room
8500,"South Mumbai, Mumbai",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.1,Superior Room City View Queen Bed 
5499,"Western Suburbs, Mumbai",,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Fabulous breakfast,8.5,Deluxe Room with King and Twin Bed
4549,"Western Suburbs, Mumbai",,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,6.9,Superior King Room
